word,count
gaunt,70
albany,70
banquo,70
patroclus,70
herald,69
evil,69
called,69
shore,69
affairs,69
knights,69
tune,69
wicked,69
colours,69
monster,69
jew,69
lawrence,69
tybalt,69
gate,68
gain,68
reasons,68
thrice,68
wait,68
broken,68
drunk,68
beyond,68
madness,68
dispatch,68
request,68
knee,68
wench,68
weeping,68
neer,68
church,68
ta’en,68
volumnia,68
winchester,68
richmond,68
nestor,68
sits,67
rain,67
men’s,67
clouds,67
follows,67
anger,67
thinks,67
humble,67
deserve,67
gentlewoman,67
nose,67
fain,67
tribunes,67
philip,67
gift,66
lovers,66
spite,66
seat,66
forsworn,66
griefs,66
guildenstern,66
cordelia,66
works,65
breathe,65
begins,65
dust,65
lawful,65
leisure,65
sighs,65
subjects,65
able,65
giving,65
cure,65
warlike,65
e’er,65
spare,65
monstrous,65
dreadful,65
proper,65
abroad,65
senators,65
chain,65
heres,65
claim,65
nerissa,65
gonzalo,65
saturninus,65
fond,64
remembrance,64
seeming,64
rare,64
instant,64
former,64
seeing,64
’twixt,64
always,64
finger,64
sooner,64
discourse,64
wings,64
kneel,64
britain,64
flavius,64
lucetta,64
treasure,63
faces,63
teeth,63
therein,63
buried,63
jewel,63
stone,63
aid,63
horses,63
easy,63
minds,63
hopes,63
fiend,63
loose,63
study,63
lovd,63
niece,63
arviragus,63
worcester,63
miranda,63
merchant,62
skill,62
bare,62
woes,62
stones,62
remedy,62
knife,62
learned,62
desperate,62
asleep,62
freely,62
damned,62
humbly,62
happiness,62
fail,62
crowns,62
meaning,62
doors,62
tree,62
hit,62
knees,62
arthur,62
eleanor,62
holofernes,62
wives,61
memory,61
single,61
offend,61
thrive,61
poet,61
loved,61
mend,61
traitors,61
demand,61
to’t,61
wrath,61
meeting,61
ship,61
storm,61
visit,61
trinculo,61
alcibiades,61
andronicus,60
summer,60
top,60
wide,60
perfect,60
sigh,60
lover,60
ride,60
repent,60
forbear,60
beggar,60
flies,60
bow,60
appears,60
sees,60
trial,60
vi,60
virtues,60
below,60
six,60
mirth,60
banished,60
mans,60
charity,60
mowbray,60
nym,60
longaville,60
dogberry,60
florizel,60
hermione,60
womb,59
quality,59
painted,59
number,59
turns,59
dearest,59
nine,59
wretch,59
list,59
gross,59
join,59
despair,59
goodness,59
saying,59
mere,59
stranger,59
’em,59
possible,59
eros,59
feet,59
following,59
lands,59
youll,59
reverend,59
rivers,59
mayor,59
sum,58
despite,58
brings,58
kindness,58
thrust,58
flower,58
authority,58
blush,58
durst,58
countenance,58
undone,58
shut,58
condition,58
natural,58
daughters,58
stanley,58
malcolm,58
pyramus,58
helicanus,58
simonides,58
3,57
lovely,57
outward,57
graces,57
grown,57
absence,57
wake,57
smell,57
envy,57
drops,57
bred,57
assure,57
denied,57
c,57
particular,57
do’t,57
rascal,57
swore,57
innocent,57
deadly,57
victory,57
fairy,57
dukes,57
calld,57
george,57
jessica,57
thaisa,57
breed,56
sacred,56
sounds,56
constant,56
winds,56
puts,56
disgrace,56
know’st,56
betwixt,56
shed,56
horns,56
spoken,56
flight,56
agrippa,56
supper,56
sack,56
douglas,56
oswald,56
gutenberg™,56
ends,55
image,55
burning,55
attending,55
table,55
early,55
ransom,55
who’s,55
slow,55
credit,55
tidings,55
ease,55
wash,55
deal,55
suddenly,55
romans,55
girl,55
flood,55
luciana,55
oxford,55
ferdinand,55
iailor,55
cost,54
contents,54
tomb,54
abuse,54
winter,54
chide,54
tyrant,54
woman’s,54
